,Unnamed: 0,Ingredient,Similar Ingredient,Word2Vec Value
61,61,고사리,청고추,0.9264733791351318
843,843,계란노른자,고춧가루,0.9258353710174559
844,844,계란노른자,소금,0.9255136251449584
62,62,고사리,참기름,0.925424575805664
63,63,고사리,간장,0.9251639842987059
64,64,고사리,다진마늘,0.9250394701957704
491,491,홍피망,간장,0.92450213432312
570,570,찹쌀가루,고춧가루,0.924224317073822
492,492,홍피망,고춧가루,0.9234329462051392
493,493,홍피망,설탕,0.9214730262756348
571,571,찹쌀가루,설탕,0.9211649298667908
494,494,홍피망,대파,0.9204635620117188
572,572,찹쌀가루,소금,0.9195235967636108
573,573,찹쌀가루,다진마늘,0.9194115400314332
574,574,찹쌀가루,실파,0.9191725254058838
1070,1070,은행,참기름,0.9118065834045409
1190,1190,게맛살,소금,0.9114726781845092
1191,1191,게맛살,후춧가루,0.9101642966270448
1071,1071,은행,깨소금,0.908900022506714
1072,1072,은행,다진마늘,0.9086323976516724
1160,1160,가래떡,후춧가루,0.908610224723816
1161,1161,가래떡,대파,0.9083575010299684
1192,1192,게맛살,당근,0.9082810282707214
1073,1073,은행,간장,0.9080291390419006
1162,1162,가래떡,다진마늘,0.90798419713974
1074,1074,은행,밥,0.9077833294868468
1250,1250,김,다진마늘,0.9077556133270264
1193,1193,게맛살,설탕,0.9072710871696472
1251,1251,김,간장,0.9072024822235109
1194,1194,게맛살,간장,0.9071850776672364
1163,1163,가래떡,간장,0.9066611528396606
1164,1164,가래떡,당근,0.90593683719635
1252,1252,김,소금,0.9052543044090272
1253,1253,김,고춧가루,0.9050071239471436
1254,1254,김,후춧가루,0.9041247963905334
1520,1520,정종,간장,0.9026702642440796
30,30,도라지,물,0.9026559591293336
1300,1300,햄,설탕,0.9026076197624208
620,620,죽순,참기름,0.9024934768676758
31,31,도라지,후춧가루,0.9020482301712036
32,32,도라지,실파,0.9019943475723268
621,621,죽순,깨소금,0.9016962647438048
830,830,화이트와인,양파,0.9015743136405944
622,622,죽순,간장,0.901536464691162
1521,1521,정종,참기름,0.9013009071350098
33,33,도라지,다진마늘,0.9009135365486144
1522,1522,정종,설탕,0.9008094668388368
623,623,죽순,후춧가루,0.9007859230041504
34,34,도라지,간장,0.9007006883621216
831,831,화이트와인,간장,0.900442361831665
1420,1420,스파게티,대파,0.9002540111541748
1301,1301,햄,후춧가루,0.9001595377922058
832,832,화이트와인,후춧가루,0.8999735116958618
1302,1302,햄,계란,0.8996298909187317
1600,1600,새송이버섯,간장,0.8995314836502075
624,624,죽순,설탕,0.8994128704071045
1303,1303,햄,소금,0.8988587856292725
833,833,화이트와인,고추장,0.8985303640365601
1304,1304,햄,다진마늘,0.8984390497207642
1523,1523,정종,다진마늘,0.8982444405555725
1524,1524,정종,고춧가루,0.8982126712799072
1601,1601,새송이버섯,다진마늘,0.8979566097259521
834,834,화이트와인,당근,0.8977339267730713
1421,1421,스파게티,다진마늘,0.8974721431732178
1602,1602,새송이버섯,설탕,0.8971118330955505
1490,1490,무순,설탕,0.8966290950775146
1603,1603,새송이버섯,고추장,0.8965163230895996
1422,1422,스파게티,홍고추,0.8960855007171631
1423,1423,스파게티,설탕,0.8958766460418701
1604,1604,새송이버섯,표고버섯,0.8956714868545532
1491,1491,무순,다진마늘,0.8951408267021179
1424,1424,스파게티,깻잎,0.8949767351150513
750,750,다진쇠고기,다진마늘,0.8944575786590576
1110,1110,새우젓,양파,0.8943361639976501
1330,1330,다시물,깨소금,0.8940329551696777
1331,1331,다시물,설탕,0.8937793970108032
1111,1111,새우젓,깨소금,0.8935883045196533
1492,1492,무순,깻잎,0.8934564590454102
1493,1493,무순,물,0.8932427763938904
1112,1112,새우젓,청고추,0.8931624889373779
1113,1113,새우젓,설탕,0.8931347131729126
1332,1332,다시물,식초,0.8930864930152893
751,751,다진쇠고기,설탕,0.8930339217185974
1494,1494,무순,후춧가루,0.8930186033248901
1114,1114,새우젓,간장,0.8929882049560547
1333,1333,다시물,참기름,0.8927091360092163
752,752,다진쇠고기,대파,0.8926630020141602
1334,1334,다시물,후춧가루,0.8925373554229736
1080,1080,갓,간장,0.8915187120437622
760,760,쌀뜨물,다진마늘,0.8912951350212097
1081,1081,갓,후춧가루,0.8912791609764099
753,753,다진쇠고기,실파,0.89126056432724
1082,1082,갓,소금,0.8910884857177734
754,754,다진쇠고기,고춧가루,0.8910795450210571
1083,1083,갓,설탕,0.8908972740173341
1084,1084,갓,홍고추,0.8907850980758667
761,761,쌀뜨물,홍고추,0.8905898928642273
762,762,쌀뜨물,간장,0.887981116771698
763,763,쌀뜨물,설탕,0.8866329193115234
1320,1320,치커리,소금,0.885685920715332
764,764,쌀뜨물,깨소금,0.8853528499603271
1200,1200,술,간장,0.8839614391326904
170,170,멥쌀,다진마늘,0.8837707638740541
1130,1130,파슬리,양파,0.8835355639457703
1201,1201,술,설탕,0.882975697517395
1131,1131,파슬리,돼지고기,0.8829590082168579
1321,1321,치커리,다진마늘,0.8828333616256714
1132,1132,파슬리,표고버섯,0.8827669620513916
1550,1550,풋고추,깻잎,0.882696270942688
1551,1551,풋고추,고춧가루,0.8825783729553223
1322,1322,치커리,대파,0.8825752735137941
1323,1323,치커리,참기름,0.882335901260376
1324,1324,치커리,후춧가루,0.8822768926620483
1552,1552,풋고추,다진마늘,0.8821437358856201
1133,1133,파슬리,설탕,0.8820481300354004
1134,1134,파슬리,간장,0.8819138407707214
1202,1202,술,다진마늘,0.8818777203559875
1553,1553,풋고추,미나리,0.8815851807594299
1203,1203,술,고춧가루,0.8815193176269531
1204,1204,술,깨소금,0.8807176351547241
1540,1540,국멸치,무,0.8803187608718872
550,550,국수,설탕,0.880123496055603
1554,1554,풋고추,설탕,0.8799623250961304
171,171,멥쌀,대파,0.8793799877166748
172,172,멥쌀,오이,0.8787600994110107
1560,1560,레몬,소금,0.8777562379837036
1541,1541,국멸치,소금,0.8776507377624512
173,173,멥쌀,맛술,0.877577543258667
990,990,파슬리가루,다진마늘,0.8775558471679688
174,174,멥쌀,간장,0.8773887753486633
1542,1542,국멸치,당근,0.8767441511154175
551,551,국수,간장,0.8766824007034302
991,991,파슬리가루,간장,0.8764423131942749
1570,1570,고구마,후춧가루,0.8764253854751587
